2026-08-20 21:22:02 | INFO     | Loaded page 160 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:03 | INFO     | Loaded page 161 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:03 | INFO     | Loaded page 162 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:04 | INFO     | Loaded page 163 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:04 | INFO     | Loaded page 164 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:05 | INFO     | Loaded page 165 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:05 | INFO     | Loaded page 166 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:06 | INFO     | Loaded page 167 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:06 | INFO     | Loaded page 168 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:06 | INFO     | Loaded page 169 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:07 | INFO     | Loaded page 170 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:07 | INFO     | Loaded page 171 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:08 | INFO     | Loaded page 172 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:08 | INFO     | Loaded page 173 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:09 | INFO     | Loaded page 174 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:09 | INFO     | Loaded page 175 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:09 | INFO     | Loaded page 176 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:10 | INFO     | Loaded page 177 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:10 | INFO     | Loaded page 178 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:11 | INFO     | Loaded page 179 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:11 | INFO     | Loaded page 180 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:12 | INFO     | Loaded page 181 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:12 | INFO     | Loaded page 182 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:13 | INFO     | Loaded page 183 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:13 | INFO     | Loaded page 184 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:13 | INFO     | Loaded page 185 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:14 | INFO     | Loaded page 186 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:14 | INFO     | Loaded page 187 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:15 | INFO     | Loaded page 188 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:15 | INFO     | Loaded page 189 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:16 | INFO     | Loaded page 190 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:16 | INFO     | Loaded page 191 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:17 | INFO     | Loaded page 192 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:17 | INFO     | Loaded page 193 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:17 | INFO     | Loaded page 194 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:18 | INFO     | Loaded page 195 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:18 | INFO     | Loaded page 196 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:19 | INFO     | Loaded page 197 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:19 | INFO     | Loaded page 198 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:20 | INFO     | Loaded page 199 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:20 | INFO     | Loaded page 200 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:20 | INFO     | Loaded page 201 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:21 | INFO     | Loaded page 202 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:21 | INFO     | Loaded page 203 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:22 | INFO     | Loaded page 204 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:22 | INFO     | Loaded page 205 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:23 | INFO     | Loaded page 206 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:23 | INFO     | Loaded page 207 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:24 | INFO     | Loaded page 208 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:24 | INFO     | Loaded page 209 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:24 | INFO     | Loaded page 210 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:25 | INFO     | Loaded page 211 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:25 | INFO     | Loaded page 212 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:26 | INFO     | Loaded page 213 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:26 | INFO     | Loaded page 214 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:27 | INFO     | Loaded page 215 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:27 | INFO     | Loaded page 216 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:27 | INFO     | Loaded page 217 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:28 | INFO     | Loaded page 218 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:28 | INFO     | Loaded page 219 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:29 | INFO     | Loaded page 220 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:29 | INFO     | Loaded page 221 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:30 | INFO     | Loaded page 222 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:30 | INFO     | Loaded page 223 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:31 | INFO     | Loaded page 224 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:31 | INFO     | Loaded page 225 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:31 | INFO     | Loaded page 226 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:32 | INFO     | Loaded page 227 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:32 | INFO     | Loaded page 228 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:33 | INFO     | Loaded page 229 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:33 | INFO     | Loaded page 230 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:34 | INFO     | Loaded page 231 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:34 | INFO     | Loaded page 232 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:35 | INFO     | Loaded page 233 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:35 | INFO     | Loaded page 234 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:36 | INFO     | Loaded page 235 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:36 | INFO     | Loaded page 236 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:36 | INFO     | Loaded page 237 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:37 | INFO     | Loaded page 238 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:37 | INFO     | Loaded page 239 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:38 | INFO     | Loaded page 240 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:38 | INFO     | Loaded page 241 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:39 | INFO     | Loaded page 242 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:39 | INFO     | Loaded page 243 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:40 | INFO     | Loaded page 244 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:40 | INFO     | Loaded page 245 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:41 | INFO     | Loaded page 246 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:41 | INFO     | Loaded page 247 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:42 | INFO     | Loaded page 248 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:42 | INFO     | Loaded page 249 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:42 | INFO     | Loaded page 250 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:43 | INFO     | Loaded page 251 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:43 | INFO     | Loaded page 252 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:44 | INFO     | Loaded page 253 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:44 | INFO     | Loaded page 254 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:45 | INFO     | Loaded page 255 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:45 | INFO     | Loaded page 256 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:46 | INFO     | Loaded page 257 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:46 | INFO     | Loaded page 258 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:46 | INFO     | Loaded page 259 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:47 | INFO     | Loaded page 260 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:47 | INFO     | Loaded page 261 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:48 | INFO     | Loaded page 262 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:48 | INFO     | Loaded page 263 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:49 | INFO     | Loaded page 264 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:49 | INFO     | Loaded page 265 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:49 | INFO     | Loaded page 266 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:50 | INFO     | Loaded page 267 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:50 | INFO     | Loaded page 268 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:51 | INFO     | Loaded page 269 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:51 | INFO     | Loaded page 270 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:52 | INFO     | Loaded page 271 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:52 | INFO     | Loaded page 272 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:52 | INFO     | Loaded page 273 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:53 | INFO     | Loaded page 274 into the database successfully.    | main_bronze.py:37
